"externalid","limitname","max_value","remaining_value","eventdate"
"8185d724-479e-4921-baeb-83616653a8ad","DailyBulkApiBatches",15000,6258,2021-06-17 18:14:14
d2bcd5a1-7a49-4b45-bf8c-e39f2965c5ba,"DailyBulkApiBatches",15000,5544,2021-06-17 19:13:29
"56c08c15-777a-4574-94c9-8c8875cc56f1","DailyBulkApiBatches",15000,4830,2021-06-17 20:13:05
"4fbb0f16-f9bd-4476-a815-d15eb07d88fb","DailyBulkApiBatches",15000,4227,2021-06-17 21:13:22
"332e84ca-fa6f-4dce-9207-9e83b82b4404","DailyBulkApiBatches",15000,3506,2021-06-17 22:13:10
"758863f0-8846-48cb-9d1f-23a4c260ac78","DailyBulkApiBatches",15000,2790,2021-06-17 23:12:46
"58217e08-4768-492c-8fd5-f7b565136aea","DailyBulkApiBatches",15000,2075,2021-06-18 00:12:04
"1ae43509-4819-4999-99bd-337ca0c4f6eb","DailyBulkApiBatches",15000,4108,2021-06-18 02:13:15
"8cff49df-1d56-45a1-8423-ba2aa1376a2d","DailyBulkApiBatches",15000,3722,2021-06-18 03:13:44
d8d702e7-4246-4eb3-9c9b-f76af2b7690d,"DailyBulkApiBatches",15000,4077,2021-06-18 04:14:44
"59c5969a-03f5-4c01-b713-f35d05143d54","DailyBulkApiBatches",15000,4445,2021-06-18 05:13:57
"6d6f9c8b-80be-44b3-8b6f-b9b78a60d8a4","DailyBulkApiBatches",15000,4153,2021-06-18 06:13:34
e66fd9c2-4afb-4a96-a6a2-0a7c02c8be29,"DailyBulkApiBatches",15000,3782,2021-06-18 07:13:52
"67857da7-7845-49c2-9894-699e46b67a94","DailyBulkApiBatches",15000,3420,2021-06-18 08:14:49
"763dd701-2fd1-41de-9e9c-07c1e1e11ffa","DailyBulkApiBatches",15000,3641,2021-06-18 09:12:57
"99a434db-7d02-4abb-89c4-561b9797a99a","DailyBulkApiBatches",15000,4686,2021-06-18 10:13:33
b45d0001-38d1-49f8-a098-5cd8b05f5b6d,"DailyBulkApiBatches",15000,4365,2021-06-18 11:13:17
b5851c7c-ffff-4733-9cce-23a7f9a8ec7a,"DailyBulkApiBatches",15000,4729,2021-06-18 12:12:13
"19d5bff8-f9d3-4d7c-806c-d2306f2d97a5","DailyBulkApiBatches",15000,5067,2021-06-18 13:14:21
"872b0238-8b07-4f92-9841-c34b11ddd456","DailyBulkApiBatches",15000,5423,2021-06-18 14:14:23
"82d4843a-5ff0-4e43-bfbd-d433fb433a08","DailyBulkApiBatches",15000,5794,2021-06-18 15:14:15
"082db088-8153-4790-b600-17f00a1ae12a","DailyBulkApiBatches",15000,6192,2021-06-18 16:12:13
c437b026-962c-4392-beba-52aac164d37b,"DailyBulkApiBatches",15000,6527,2021-06-18 17:14:36
"0f704574-b002-4283-b58b-a894788193e7","DailyBulkApiBatches",15000,6912,2021-06-18 18:12:17
"6e9f8ecf-8586-4511-80d1-d461ea9afa72","DailyBulkApiBatches",15000,7265,2021-06-18 19:13:03
"11420701-ab02-4908-a975-6b84cc59c93a","DailyBulkApiBatches",15000,6903,2021-06-18 20:14:01
d53566b9-c29a-4543-bccc-047c525d17c6,"DailyBulkApiBatches",15000,6546,2021-06-18 21:13:46
aa590848-87a7-4148-b0cb-13950f4f63fe,"DailyBulkApiBatches",15000,6921,2021-06-18 22:12:54
"768f72dd-e6a2-4c61-bc3b-3d29395f216e","DailyBulkApiBatches",15000,7270,2021-06-18 23:14:07
"454e3841-0522-452b-b419-f140eb0aea95","DailyBulkApiBatches",15000,7109,2021-06-19 00:15:26
"804f9766-9577-4f07-99e0-d28587bf0251","DailyBulkApiBatches",15000,6756,2021-06-19 01:13:09
aa0269c9-90dd-4683-8e13-5d6e810cfce2,"DailyBulkApiBatches",15000,5237,2021-06-22 04:14:55
